"home_team_name","away_team_name","home_team_score","away_team_score","date","group"
"Magdeburg","Szeged","40","32","4.12","B"
"Nantes","Kielce","29","33","4.12","A"
"Kolstad","Fuchse Berlin","28","24","4.12","A"
"Veszprem","Sporting CP","32","31","4.12","A"
"Wisla Plock","GOG","34","35","4.12","B"
"Barcelona","PSG","38","33","3.12","B"
"Dinamo Bucuresti","Aalborg","27","30","3.12","A"
"RK Zagreb","Eurofarm Pelister","27","23","3.12","B"
"Fuchse Berlin","Veszprem","38","34","27.11","A"
"PSG","Wisla Plock","29","30","27.11","B"
"Sporting CP","Kolstad","44","31","27.11","A"
"GOG","Barcelona","28","41","27.11","B"
"Szeged","RK Zagreb","32","26","27.11","B"
"Eurofarm Pelister","Magdeburg","26","31","26.11","B"
"Aalborg","Nantes","31","24","26.11","A"
"Kielce","Dinamo Bucuresti","34","32","26.11","A"
"Fuchse Berlin","Sporting CP","33","29","20.11","A"
"Dinamo Bucuresti","Nantes","29","28","20.11","A"
"GOG","Wisla Plock","28","30","20.11","B"
"Szeged","Eurofarm Pelister","35","20","20.11","B"
"PSG","Barcelona","27","30","19.11","B"
"Aalborg","Kielce","34","27","19.11","A"
"RK Zagreb","Magdeburg","35","43","19.11","B"
"Veszprem","Kolstad","42","34","19.11","A"
"Barcelona","Wisla Plock","30","24","13.11","B"
"Nantes","Dinamo Bucuresti","35","28","13.11","A"
"Sporting CP","Fuchse Berlin","37","38","13.11","A"
"Kielce","Aalborg","32","32","13.11","A"
"Eurofarm Pelister","Szeged","25","24","12.11","B"
"Magdeburg","RK Zagreb","27","22","12.11","B"
"GOG","PSG","28","31","12.11","B"
"Kolstad","Veszprem","29","43","12.11","A"
"Magdeburg","Eurofarm Pelister","36","26","23.1","B"
"PSG","GOG","34","36","23.1","B"
"Wisla Plock","Barcelona","24","34","23.1","B"
"Dinamo Bucuresti","Kielce","24","28","23.1","A"
"Veszprem","Fuchse Berlin","31","32","23.1","A"
"Nantes","Aalborg","27","28","22.1","A"
"Kolstad","Sporting CP","30","34","22.1","A"
"RK Zagreb","Szeged","23","28","22.1","B"
"Fuchse Berlin","Kolstad","38","27","16.1","A"
"Sporting CP","Veszprem","33","32","16.1","A"
"RK Zagreb","GOG","31","36","16.1","B"
"Eurofarm Pelister","Barcelona","30","34","15.1","B"
"Kielce","Nantes","27","35","15.1","A"
"Aalborg","Dinamo Bucuresti","34","28","15.1","A"
"Szeged","Magdeburg","30","34","15.1","B"
"Wisla Plock","PSG","35","32","15.1","B"
"Barcelona","Szeged","31","28","9.1","B"
"Fuchse Berlin","Dinamo Bucuresti","32","31","9.1","A"
"PSG","RK Zagreb","35","32","9.1","B"
"Veszprem","Kielce","35","33","9.1","A"
"Kolstad","Aalborg","26","35","8.1","A"
"Sporting CP","Nantes","28","39","8.1","A"
"GOG","Magdeburg","30","39","8.1","B"
"Wisla Plock","Eurofarm Pelister","36","25","8.1","B"
"Magdeburg","Wisla Plock","27","26","25.09","B"
"Kielce","Fuchse Berlin","32","37","25.09","A"
"RK Zagreb","Barcelona","25","32","25.09","B"
"Szeged","PSG","31","29","25.09","B"
"Eurofarm Pelister","GOG","28","31","24.09","B"
"Nantes","Kolstad","39","24","24.09","A"
"Aalborg","Sporting CP","35","30","24.09","A"
"Dinamo Bucuresti","Veszprem","27","30","24.09","A"
"Barcelona","Magdeburg","21","22","18.09","B"
"PSG","Eurofarm Pelister","33","27","18.09","B"
"Fuchse Berlin","Aalborg","31","28","18.09","A"
"Sporting CP","Kielce","41","37","18.09","A"
"Veszprem","Nantes","30","25","18.09","A"
"Wisla Plock","RK Zagreb","30","27","17.09","B"
"GOG","Szeged","31","36","17.09","B"
"Kolstad","Dinamo Bucuresti","31","28","17.09","A"
"Barcelona","GOG","37","32","11.09","B"
"Kielce","Kolstad","38","27","11.09","A"
"Nantes","Fuchse Berlin","34","40","11.09","A"
"Szeged","Wisla Plock","33","34","11.09","B"
"Eurofarm Pelister","RK Zagreb","25","23","10.09","B"
"Magdeburg","PSG","37","31","10.09","B"
"Aalborg","Veszprem","32","28","10.09","A"
"Dinamo Bucuresti","Sporting CP","30","33","10.09","A"
